Categories,close,%Change,EMA50,lagged EMA50,RSI,RSI-based MA,RSI-RSIMA,ATR,ADX,MACD,RP,RHODL,RR,MVRV-Z,SupplyP,MinerFeeRev%,Thermocap,AA,AVGFees,Puell,INVCAP,ASOPR,AccuTrend,NUPL,BTCINFLATION,Liveliness,NVT,CVDD,SP500,NASDAQ,POSNEG
4,8152.05,3.29%,8285.608,8291.06,55.18724,45.81046,9.376775,511.4579,25.28396,-31.4403,5189.369,16544.41,0.00748,1.211435,11966643,1.25E-02,6.98E+09,589411,0.000126,1.248275,8.12E+10,1.003571,0.009615,0.364312,0.043912,0.607213,19.74556,2365.174,2708.64,7295.234,1
4,8274,1.50%,8285.153,8285.608,56.68034,47.38964,9.290702,489.1059,24.2072,13.73178,5205.353,16681.8,0.007589,1.246394,12263125,1.23E-02,7.00E+09,644586,0.00013,1.411931,8.14E+10,1.070524,0.013272,0.372417,0.048964,0.607806,17.53285,2385.434,2693.13,7238.055,1
4,8915.42,0.55%,8331.765,8307.942,63.592,51.38289,12.20911,499.8263,24.81151,163.6596,5219.242,17524.98,0.008035,1.466081,12992055,1.41E-02,7.03E+09,620004,0.000147,1.342944,8.17E+10,1.035473,0.012123,0.412872,0.043616,0.608687,28.17576,2395.43,#N/A,#N/A,1
4,8931.3,1.55%,8372.73,8349.931,62.97576,54.79787,8.177885,463.7047,25.4934,245.9816,5230.007,18648.73,0.008011,1.491697,13012694,1.50E-02,7.07E+09,642648,0.000129,1.29743,8.18E+10,1.028342,0.030307,0.414389,0.041926,0.60851,23.08928,2402.048,2670.29,7128.602,1
4,9272.12,4.58%,8472.645,8440.013,61.27017,58.85649,2.413674,544.4595,27.54267,363.6767,5256.657,23002.53,0.007871,1.599376,13173099,3.69E-02,7.12E+09,660410,0.000312,1.18524,8.23E+10,1.040076,0.05498,0.43364,0.038563,0.608897,23.19651,2420.365,2666.94,7118.676,1
4,9329.99,4.57%,8523.218,8490.288,60.38538,59.50582,0.87956,541.5856,28.37148,376.7303,5261.356,21695.33,0.008079,1.635144,13284323,2.55E-02,7.15E+09,562244,0.000206,1.115882,8.23E+10,1.010138,0.04627,0.437194,0.034939,0.608842,20.22721,2422.151,#N/A,#N/A,1
4,9389.01,0.63%,8557.17,8523.218,60.92034,59.66597,1.254363,526.6516,28.91964,394.1387,5263.667,21705.64,0.008133,1.660475,13355833,1.74E-02,7.17E+09,541887,0.000193,1.388762,8.23E+10,1.010577,0.027871,0.441168,0.043298,0.608677,22.36711,2423.503,#N/A,#N/A,1
4,9190.48,1.30%,8626.272,8603.243,57.66276,60.49452,-2.83177,488.4842,27.71309,361.1306,5279.455,18583.56,0.007798,1.57822,13011495,2.17E-02,7.22E+09,683381,0.000183,1.188665,8.26E+10,1.050197,0.055704,0.428376,0.038259,0.608328,26.33432,2434.24,2635.67,7100.898,1
4,9800,1.19%,8751.992,8709.216,63.6082,60.90824,2.699959,472.3377,29.39028,424.6457,5297.685,17451.76,0.008262,1.802945,13643104,1.57E-02,7.27E+09,625684,0.000159,1.45895,8.29E+10,1.024278,0.053004,0.462607,0.044108,0.608258,28.71375,2439.774,#N/A,#N/A,1
4,9300.08,1.33%,8840.898,8822.156,54.98499,58.98049,-3.9955,464.0049,25.432,317.935,5304.162,16567.87,0.007579,1.586166,13063867,1.50E-02,7.34E+09,612043,0.000148,1.342007,8.30E+10,1.019844,0.084123,0.431197,0.043809,0.607687,24.4789,2445.441,2697.79,7339.906,1
